mysql> select * from recipes;
+------+---------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------+
| id   | name                                                                      | link                                                                                                          |
| 1452 | Blackberry Frozen Yogurt                                                  | http://www.simplyrecipes.com/recipes/blackberry_frozen_yogurt/                                                |
| 1453 | Blackberry Muffins                                                        | http://www.simplyrecipes.com/recipes/blackberry_muffins/                                                      |
| 1454 | Blackberry Pie                                                            | http://www.simplyrecipes.com/recipes/blackberry_pie/                                                          |
| 1455 | Blackberry Slump                                                          | http://www.simplyrecipes.com/recipes/blackberry_slump/                                                        |
| 1456 | Blanched Cabbage with Butter and Caraway                                  | http://www.simplyrecipes.com/recipes/blanched_cabbage_with_butter_and_caraway/                                |
| 1457 | Blondies                                                                  | http://www.simplyrecipes.com/recipes/blondies/                                                                |
| 1458 | Blue Cheese Burgers                                                       | http://www.simplyrecipes.com/recipes/blue_cheese_burgers/                                                     |
| 1459 | Blueberry Buckle                                                          | http://www.simplyrecipes.com/recipes/blueberry_buckle/                                                        |
| 1460 | Blueberry Buttermilk Pancakes                                             | http://www.simplyrecipes.com/recipes/blueberry_buttermilk_pancakes/                                           |
| 1461 | Blueberry Cake                                                            | http://www.simplyrecipes.com/recipes/blueberry_cake/                                                          |
| 1462 | Blueberry Frozen Yogurt                                                   | http://www.simplyrecipes.com/recipes/blueberry_frozen_yogurt/                                                 |
| 1463 | Blueberry Maple Breakfast Bake                                            | http://www.simplyrecipes.com/recipes/blueberry_maple_breakfast_bake/                                          |
| 1464 | Blueberry Muffins                                                         | http://www.simplyrecipes.com/recipes/blueberry_muffins/                                                       |
| 1465 | Blueberry Peach Fruit Salad with Thyme                                    | http://www.simplyrecipes.com/recipes/blueberry_peach_fruit_salad_with_thyme/                                  |
| 1466 | Blueberry Pie                                                             | http://www.simplyrecipes.com/recipes/blueberry_pie/                                                           |
| 1467 | Blueberry Shortcake                                                       | http://www.simplyrecipes.com/recipes/blueberry_shortcake/                                                     |
| 1468 | Blueberry Sorbet                                                          | http://www.simplyrecipes.com/recipes/blueberry_sorbet/                                                        |
| 1469 | Boeuf Bourguignon                                                         | http://www.simplyrecipes.com/recipes/boeuf_bourguignon/                                                       |
| 1470 | Boiled Peanuts                                                            | http://www.simplyrecipes.com/recipes/boiled_peanuts/                                                          |
